run_id	index	total	runs	algorithm	folder	returncode	elapsed_s
20260508-182702	84	90	10	lz4hc	image_sources/stress/600x448	0	0.994
20260508-182702	86	90	10	lz4hc	image_sources/stress/648x480	0	1.128
20260508-182702	89	90	10	lz4	image_sources/stress/960x640	0	0.426
20260508-182702	88	90	10	lz4hc	image_sources/stress/800x480	0	1.252
20260508-182702	72	90	10	lz4hc	image_sources/stress/1600x1200	0	5.242
20260508-182702	90	90	10	lz4hc	image_sources/stress/960x640	0	1.581
20260508-182702	42	90	10	lz4hc	image_sources/photos/1600x1200	0	11.994
20260508-182702	74	90	10	lz4hc	image_sources/stress/1872x1404	0	6.723
20260508-182702	12	90	10	lz4hc	image_sources/generated/1600x1200	0	19.776
20260508-182702	78	90	10	lz4hc	image_sources/stress/2560x1440	0	7.950
20260508-182702	44	90	10	lz4hc	image_sources/photos/1872x1404	0	14.955
20260508-182702	14	90	10	lz4hc	image_sources/generated/1872x1404	0	24.308
20260508-182702	48	90	10	lz4hc	image_sources/photos/2560x1440	0	18.618
20260508-182702	18	90	10	lz4hc	image_sources/generated/2560x1440	0	38.917
20260508-194835	3	45	10	lzssraw	image_sources/generated/128x296	0	1.082
20260508-194835	2	45	10	lzssraw	image_sources/generated/122x250	0	1.109
20260508-194835	5	45	10	lzssraw	image_sources/generated/152x296	0	1.189
20260508-194835	8	45	10	lzssraw	image_sources/generated/200x200	0	1.238
20260508-194835	10	45	10	lzssraw	image_sources/generated/296x128	0	1.333
20260508-194835	17	45	10	lzssraw	image_sources/photos/122x250	0	0.419
20260508-194835	11	45	10	lzssraw	image_sources/generated/400x300	0	1.829
20260508-194835	18	45	10	lzssraw	image_sources/photos/128x296	0	0.511
20260508-194835	20	45	10	lzssraw	image_sources/photos/152x296	0	0.489
20260508-194835	12	45	10	lzssraw	image_sources/generated/600x448	0	2.825
20260508-194835	16	45	10	lzssraw	image_sources/photos/1024x576	0	2.546
20260508-194835	13	45	10	lzssraw	image_sources/generated/648x480	0	2.738
20260508-194835	23	45	10	lzssraw	image_sources/photos/200x200	0	0.367
