
===== [20260508-142929 8/225] g5 image_sources/generated/122x250 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zstd l19-w12 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 347 8.67% 0.494
zstd l19-w15 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 347 8.67% 0.578
zstd l19-w10 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 700 4.59% 0.935
zstd l19-w12 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 616 4.04% 0.932
zstd l19-w15 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 572 3.75% 1.983
zstd l19-w10 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 492 6.35% 0.380
zstd l19-w12 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 422 5.45% 0.729
zstd l19-w15 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 407 5.25% 0.856
zstd l19-w10 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 499 12.47% 0.215
zstd l19-w12 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 448 11.20% 0.296
zstd l19-w15 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 448 11.20% 0.262
zstd l19-w10 status-panel-large-numbers.gray16.122x250.bs-od 122x250 15250 1242 8.14% 0.741
zstd l19-w12 status-panel-large-numbers.gray16.122x250.bs-od 122x250 15250 1159 7.60% 0.804
zstd l19-w15 status-panel-large-numbers.gray16.122x250.bs-od 122x250 15250 1092 7.16% 1.727
zstd l19-w10 status-panel-large-numbers.gray4.122x250.bs-od 122x250 7750 839 10.83% 0.370
zstd l19-w12 status-panel-large-numbers.gray4.122x250.bs-od 122x250 7750 778 10.04% 0.663
zstd l19-w15 status-panel-large-numbers.gray4.122x250.bs-od 122x250 7750 753 9.72% 0.620
zstd l19-w10 status-panel-large-numbers.mono.122x250.bs-od 122x250 4000 420 10.50% 0.206
zstd l19-w12 status-panel-large-numbers.mono.122x250.bs-od 122x250 4000 382 9.55% 0.314
zstd l19-w15 status-panel-large-numbers.mono.122x250.bs-od 122x250 4000 382 9.55% 0.318
zstd l19-w10 text-glyph-density-grid.gray16.122x250.bs-od 122x250 15250 1665 10.92% 0.636
zstd l19-w12 text-glyph-density-grid.gray16.122x250.bs-od 122x250 15250 1568 10.28% 0.707
zstd l19-w15 text-glyph-density-grid.gray16.122x250.bs-od 122x250 15250 1483 9.72% 1.089
zstd l19-w10 text-glyph-density-grid.gray4.122x250.bs-od 122x250 7750 966 12.46% 0.288
zstd l19-w12 text-glyph-density-grid.gray4.122x250.bs-od 122x250 7750 909 11.73% 0.784
zstd l19-w15 text-glyph-density-grid.gray4.122x250.bs-od 122x250 7750 867 11.19% 0.665
zstd l19-w10 text-glyph-density-grid.mono.122x250.bs-od 122x250 4000 436 10.90% 0.187
zstd l19-w12 text-glyph-density-grid.mono.122x250.bs-od 122x250 4000 391 9.78% 0.309
zstd l19-w15 text-glyph-density-grid.mono.122x250.bs-od 122x250 4000 391 9.78% 0.294
