
===== [20260508-135727 1/45] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l6-ws9 price-tag-electronics-promo.mono.1360x480.bs-od 1360x480 81600 8485 10.40% 2.153
zlib l1-ws10 price-tag-electronics-promo.mono.1360x480.bs-od 1360x480 81600 8750 10.72% 1.000
zlib l6-ws10 price-tag-electronics-promo.mono.1360x480.bs-od 1360x480 81600 7957 9.75% 1.273
zlib l9-ws10 price-tag-electronics-promo.mono.1360x480.bs-od 1360x480 81600 7649 9.37% 1.928
zlib l1-ws9 price-tag-grocery-shelf.gray16.1360x480.bs-od 1360x480 326400 62953 19.29% 8.264
zlib l6-ws9 price-tag-grocery-shelf.gray16.1360x480.bs-od 1360x480 326400 57894 17.74% 12.697
zlib l1-ws10 price-tag-grocery-shelf.gray16.1360x480.bs-od 1360x480 326400 63629 19.49% 5.232
zlib l6-ws10 price-tag-grocery-shelf.gray16.1360x480.bs-od 1360x480 326400 55332 16.95% 8.546
zlib l9-ws10 price-tag-grocery-shelf.gray16.1360x480.bs-od 1360x480 326400 54720 16.76% 14.586
zlib l1-ws9 price-tag-grocery-shelf.gray4.1360x480.bs-od 1360x480 163200 27246 16.69% 6.072
zlib l6-ws9 price-tag-grocery-shelf.gray4.1360x480.bs-od 1360x480 163200 24382 14.94% 6.199
zlib l1-ws10 price-tag-grocery-shelf.gray4.1360x480.bs-od 1360x480 163200 26975 16.53% 3.784
zlib l6-ws10 price-tag-grocery-shelf.gray4.1360x480.bs-od 1360x480 163200 22879 14.02% 3.692
zlib l9-ws10 price-tag-grocery-shelf.gray4.1360x480.bs-od 1360x480 163200 21925 13.43% 7.748
zlib l1-ws9 price-tag-grocery-shelf.mono.1360x480.bs-od 1360x480 81600 15270 18.71% 1.950
zlib l6-ws9 price-tag-grocery-shelf.mono.1360x480.bs-od 1360x480 81600 13693 16.78% 3.776
