status,algorithm,variant,input_file,output_file,width,height,input_bytes,compressed_bytes,ratio,avg_ms,runs,error
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.zlib.l6-ws10.dat,1024,576,73728,6624,0.08984375,1.946855,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-label-barcode-layout.mono.1024x576.zlib.l9-ws10.dat,1024,576,73728,6508,0.0882704,1.875588,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.zlib.l1-ws9.dat,1024,576,294912,24162,0.08192952,9.164043,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.zlib.l6-ws9.dat,1024,576,294912,22612,0.07667372,8.037741,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.zlib.l1-ws10.dat,1024,576,294912,23087,0.07828437,4.785867,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.zlib.l6-ws10.dat,1024,576,294912,20251,0.06866794,7.212589,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray16.1024x576.zlib.l9-ws10.dat,1024,576,294912,19066,0.06464979,6.726708,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.zlib.l1-ws9.dat,1024,576,147456,16846,0.11424425,3.529132,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.zlib.l6-ws9.dat,1024,576,147456,16183,0.10974799,4.167425,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.zlib.l1-ws10.dat,1024,576,147456,15225,0.10325114,1.779872,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.zlib.l6-ws10.dat,1024,576,147456,13908,0.09431966,2.677844,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.gray4.1024x576.zlib.l9-ws10.dat,1024,576,147456,13145,0.08914524,4.013941,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.mono.1024x576.zlib.l1-ws9.dat,1024,576,73728,12924,0.17529297,3.152798,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/price-tag-electronics-promo.mono.1024x576.zlib.l6-ws9.dat,1024,576,73728,12177,0.16516113,1.943882,3,
