
===== [1/135] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l9-ws9 text-glyph-density-grid.mono.122x250.bs-od 122x250 4000 396 9.90% 0.105
zlib l9-ws12 text-glyph-density-grid.mono.122x250.bs-od 122x250 4000 393 9.83% 0.099
zlib l9-ws15 text-glyph-density-grid.mono.122x250.bs-od 122x250 4000 393 9.83% 0.132
average_ratio=7.95%

===== [5/135] heatshrink image_sources/generated/122x250 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
heatshrink w9-l4 dashboard-mixed-density.gray16.122x250.bs-od 122x250 15250 2308 15.13% 0.175
heatshrink w11-l5 dashboard-mixed-density.gray16.122x250.bs-od 122x250 15250 1796 11.78% 0.474
heatshrink w13-l6 dashboard-mixed-density.gray16.122x250.bs-od 122x250 15250 1582 10.37% 1.361
heatshrink w9-l4 dashboard-mixed-density.gray4.122x250.bs-od 122x250 7750 1297 16.74% 0.089
heatshrink w11-l5 dashboard-mixed-density.gray4.122x250.bs-od 122x250 7750 1072 13.83% 0.280
heatshrink w13-l6 dashboard-mixed-density.gray4.122x250.bs-od 122x250 7750 969 12.50% 0.529
heatshrink w9-l4 dashboard-mixed-density.mono.122x250.bs-od 122x250 4000 664 16.60% 0.042
heatshrink w11-l5 dashboard-mixed-density.mono.122x250.bs-od 122x250 4000 547 13.68% 0.146
heatshrink w13-l6 dashboard-mixed-density.mono.122x250.bs-od 122x250 4000 481 12.03% 0.166
heatshrink w9-l4 floorplan-thin-lines.gray16.122x250.bs-od 122x250 15250 1850 12.13% 0.100
heatshrink w11-l5 floorplan-thin-lines.gray16.122x250.bs-od 122x250 15250 1213 7.95% 0.222
heatshrink w13-l6 floorplan-thin-lines.gray16.122x250.bs-od 122x250 15250 865 5.67% 0.807
heatshrink w9-l4 floorplan-thin-lines.gray4.122x250.bs-od 122x250 7750 953 12.30% 0.055
heatshrink w11-l5 floorplan-thin-lines.gray4.122x250.bs-od 122x250 7750 675 8.71% 0.131
heatshrink w13-l6 floorplan-thin-lines.gray4.122x250.bs-od 122x250 7750 515 6.65% 0.264
heatshrink w9-l4 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 515 12.88% 0.029
heatshrink w11-l5 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 363 9.07% 0.079
heatshrink w13-l6 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 274 6.85% 0.095
heatshrink w9-l4 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 2948 19.33% 0.335
heatshrink w11-l5 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 2525 16.56% 0.840
heatshrink w13-l6 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 2387 15.65% 1.710
heatshrink w9-l4 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 1546 19.95% 0.126
heatshrink w11-l5 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 1344 17.34% 0.421
heatshrink w13-l6 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 1279 16.50% 0.735
heatshrink w9-l4 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 721 18.02% 0.050
heatshrink w11-l5 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 610 15.25% 0.185
heatshrink w13-l6 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 559 13.98% 0.196
heatshrink w9-l4 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 1985 13.02% 0.090
heatshrink w11-l5 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 1391 9.12% 0.192
heatshrink w13-l6 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 1044 6.85% 0.665
heatshrink w9-l4 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 1124 14.50% 0.061
heatshrink w11-l5 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 828 10.68% 0.139
heatshrink w13-l6 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 676 8.72% 0.317
heatshrink w9-l4 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 600 15.00% 0.029
heatshrink w11-l5 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 466 11.65% 0.093
heatshrink w13-l6 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 393 9.83% 0.184
heatshrink w9-l4 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 2140 14.03% 0.092
heatshrink w11-l5 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 1573 10.31% 0.200
heatshrink w13-l6 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 1255 8.23% 0.707
heatshrink w9-l4 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 1174 15.15% 0.061
heatshrink w11-l5 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 902 11.64% 0.168
heatshrink w13-l6 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 750 9.68% 0.302
